Hash Function,Size,Duration (ns)
BadHashFunctor,100,362458
BadHashFunctor,200,237875
BadHashFunctor,300,389375
BadHashFunctor,400,616166
BadHashFunctor,500,255500
BadHashFunctor,600,267375
BadHashFunctor,700,267708
BadHashFunctor,800,310875
BadHashFunctor,900,334292
BadHashFunctor,1000,382750
GoodHashFunctor,100,25542
GoodHashFunctor,200,47417
GoodHashFunctor,300,60208
GoodHashFunctor,400,139083
GoodHashFunctor,500,108458
GoodHashFunctor,600,120416
GoodHashFunctor,700,79083
GoodHashFunctor,800,94333
GoodHashFunctor,900,109584
GoodHashFunctor,1000,113792
MediocreHashFunctor,100,21042
MediocreHashFunctor,200,42125
MediocreHashFunctor,300,63375
MediocreHashFunctor,400,83625
MediocreHashFunctor,500,118959
MediocreHashFunctor,600,103792
MediocreHashFunctor,700,212750
MediocreHashFunctor,800,91000
MediocreHashFunctor,900,98958
MediocreHashFunctor,1000,157125
