Algorithm,ListType,Size,Strategy,Time
Mergesort,Best,1024,15,235187
Mergesort,Average,1024,15,186320
Mergesort,Worst,1024,15,134169
Quicksort,Best,1024,RANDOM_ELEMENT,245734
Quicksort,Average,1024,RANDOM_ELEMENT,133409
Quicksort,Worst,1024,RANDOM_ELEMENT,84255
Mergesort,Best,2048,15,154061
Mergesort,Average,2048,15,81605
Mergesort,Worst,2048,15,100920
Quicksort,Best,2048,RANDOM_ELEMENT,110241
Quicksort,Average,2048,RANDOM_ELEMENT,113547
Quicksort,Worst,2048,RANDOM_ELEMENT,111338
Mergesort,Best,4096,15,226611
Mergesort,Average,4096,15,163226
Mergesort,Worst,4096,15,173869
Quicksort,Best,4096,RANDOM_ELEMENT,244644
Quicksort,Average,4096,RANDOM_ELEMENT,250940
Quicksort,Worst,4096,RANDOM_ELEMENT,243554
Mergesort,Best,8192,15,364105
Mergesort,Average,8192,15,364891
Mergesort,Worst,8192,15,300615
Quicksort,Best,8192,RANDOM_ELEMENT,514825
Quicksort,Average,8192,RANDOM_ELEMENT,510101
Quicksort,Worst,8192,RANDOM_ELEMENT,504081
Mergesort,Best,16384,15,551282
Mergesort,Average,16384,15,1199563
Mergesort,Worst,16384,15,779263
Quicksort,Best,16384,RANDOM_ELEMENT,1118013
Quicksort,Average,16384,RANDOM_ELEMENT,1147318
Quicksort,Worst,16384,RANDOM_ELEMENT,1071138
Mergesort,Best,32768,15,1281341
Mergesort,Average,32768,15,1497545
Mergesort,Worst,32768,15,1357111
Quicksort,Best,32768,RANDOM_ELEMENT,2403375
Quicksort,Average,32768,RANDOM_ELEMENT,2383080
Quicksort,Worst,32768,RANDOM_ELEMENT,2379409
Mergesort,Best,65536,15,2898837
Mergesort,Average,65536,15,3131752
Mergesort,Worst,65536,15,3072692
Quicksort,Best,65536,RANDOM_ELEMENT,4863974
Quicksort,Average,65536,RANDOM_ELEMENT,4998756
Quicksort,Worst,65536,RANDOM_ELEMENT,4873319
Mergesort,Best,131072,15,6213390
Mergesort,Average,131072,15,6834425
Mergesort,Worst,131072,15,6162170
Quicksort,Best,131072,RANDOM_ELEMENT,10184538
Quicksort,Average,131072,RANDOM_ELEMENT,10391790
Quicksort,Worst,131072,RANDOM_ELEMENT,10167515
Mergesort,Best,262144,15,25314883
Mergesort,Average,262144,15,25306397
Mergesort,Worst,262144,15,25020548
Quicksort,Best,262144,RANDOM_ELEMENT,22971844
Quicksort,Average,262144,RANDOM_ELEMENT,23590761
Quicksort,Worst,262144,RANDOM_ELEMENT,23570808
Mergesort,Best,524288,15,67328886
Mergesort,Average,524288,15,72691205
Mergesort,Worst,524288,15,69689257
Quicksort,Best,524288,RANDOM_ELEMENT,48053586
Quicksort,Average,524288,RANDOM_ELEMENT,48887840
Quicksort,Worst,524288,RANDOM_ELEMENT,49512463
Mergesort,Best,1048576,15,166478788
Mergesort,Average,1048576,15,173329961
Mergesort,Worst,1048576,15,191228284
Quicksort,Best,1048576,RANDOM_ELEMENT,104476381
Quicksort,Average,1048576,RANDOM_ELEMENT,113068869
Quicksort,Worst,1048576,RANDOM_ELEMENT,102218591
Mergesort,Best,2097152,15,446015254
Mergesort,Average,2097152,15,397548594
Mergesort,Worst,2097152,15,470871354
Quicksort,Best,2097152,RANDOM_ELEMENT,209398251
Quicksort,Average,2097152,RANDOM_ELEMENT,222036579
Quicksort,Worst,2097152,RANDOM_ELEMENT,209120747
Mergesort,Best,4194304,15,954919830
Mergesort,Average,4194304,15,840855022
Mergesort,Worst,4194304,15,941275294
Quicksort,Best,4194304,RANDOM_ELEMENT,456633479
